journee_gaziere,qte_injectee_Mwh
2018-08-03,1517.9850
2018-08-04,1437.7480
2018-08-05,1443.4860
2018-08-06,1447.2730
2018-08-07,1401.0490
2018-08-08,1476.1170
2018-08-09,1551.9570
2018-08-10,1457.0620
2018-08-11,1477.3810
2018-08-12,1405.4020
2018-08-13,1381.7490
2018-08-14,1482.3440
2018-08-15,1519.3020
2018-08-16,1448.9680
2018-08-17,1537.4610
2018-08-18,1502.1600
2018-08-19,1388.7180
2018-08-20,1440.5290
2018-08-21,1530.8770
2018-08-22,1520.0300
2018-08-23,1586.7740
2018-08-24,1565.1630
2018-08-25,1529.6290
2018-08-26,1546.9030
2018-08-27,1525.3530
2018-08-28,1508.7220
2018-08-29,1515.5370
2018-08-30,1449.2360
2018-08-31,1552.4140
2018-09-01,1549.9150
2018-09-02,1536.9190
2018-09-03,1502.9890
2018-09-04,1540.0090
2018-09-05,1498.1350
2018-09-06,1516.1200
2018-09-07,1560.3200
2018-09-08,1529.7110
2018-09-09,1495.9200
2018-09-10,1528.7020
2018-09-11,1489.5160
2018-09-12,1487.7360
2018-09-13,1563.2740
2018-09-14,1563.0980
2018-09-15,1568.6760
2018-09-16,1523.8170
2018-09-17,1512.8110
2018-09-18,1455.7450
2018-09-19,1507.9700
2018-09-20,1581.0260
2018-09-21,1579.8020
2018-09-22,1600.0360
2018-09-23,1430.1490
2018-09-24,1498.6430
2018-09-25,1485.7110
2018-09-26,1551.4430
2018-09-27,1640.9580
2018-09-28,1676.2360
2018-09-29,1610.3500
2018-09-30,1541.4230
2018-10-01,1592.2790
2018-10-02,1726.3940
2018-10-03,1721.7170
2018-10-04,1808.9020
2018-10-05,1778.1190
2018-10-06,1830.5170
2018-10-07,1774.4910
2018-10-08,1739.5690
2018-10-09,1820.2260
2018-10-10,1844.8370
2018-10-11,1782.7170
2018-10-12,1827.2100
2018-10-13,1863.4350
2018-10-14,1810.9890
2018-10-15,1752.6310
2018-10-16,1778.0360
2018-10-17,1806.3260
2018-10-18,1895.8720
2018-10-19,1808.3140
2018-10-20,1843.5040
2018-10-21,1815.0090
2018-10-22,1730.3480
2018-10-23,1768.5750
2018-10-24,1860.0380
2018-10-25,1865.1630
2018-10-26,1895.5760
2018-10-27,1855.6830
2018-10-28,1661.0000
2018-10-29,1681.7200
2018-10-30,1698.7510
2018-10-31,1764.6410
2018-11-01,1805.1400
2018-11-02,1770.8160
2018-11-03,1748.0020
2018-11-04,1708.5390
2018-11-05,1692.1130
2018-11-06,1667.8500
2018-11-07,1757.2630
2018-11-08,1859.8170
2018-11-09,1913.2070
2018-11-10,1897.2140
2018-11-11,1818.3630
2018-11-12,1834.8010
2018-11-13,1829.3570
2018-11-14,1797.9700
2018-11-15,1762.9500
2018-11-16,1900.3390
2018-11-17,1881.6090
2018-11-18,1818.0390
2018-11-19,1811.1190
2018-11-20,1754.3440
2018-11-21,1843.1310
2018-11-22,1801.9200
2018-11-23,1759.0510
2018-11-24,1790.3600
2018-11-25,1759.2760
2018-11-26,1732.9950
2018-11-27,1801.1860
2018-11-28,1814.6440
2018-11-29,1821.7390
2018-11-30,1852.1950
2018-12-01,1937.2700
2018-12-02,1831.4080
2018-12-03,1746.0620
2018-12-04,1826.8490
2018-12-05,1849.8560
2018-12-06,1930.5730
2018-12-07,1827.4870
2018-12-08,1778.6640
2018-12-09,1795.9500
2018-12-10,1802.5590
2018-12-11,1803.4900
2018-12-12,1913.0880
2018-12-13,1949.5780
2018-12-14,1895.1670
2018-12-15,1867.7050
2018-12-16,1853.3530
2018-12-17,1813.5940
2018-12-18,1960.9930
2018-12-19,1955.5330
2018-12-20,1999.9100
2018-12-21,2089.5930
2018-12-22,2098.3750
2018-12-23,2035.9970
2018-12-24,1958.7170
2018-12-25,1946.7240
2018-12-26,1969.5620
2018-12-27,2017.4370
2018-12-28,1930.4510
2018-12-29,1957.5450
2018-12-30,1984.1290
2018-12-31,1943.1270
2019-01-01,1899.2110
2019-01-02,1911.6880
2019-01-03,2075.7850
2019-01-04,2100.9020
2019-01-05,2048.9360
2019-01-06,2039.8880
2019-01-07,1994.6610
2019-01-08,2011.7180
2019-01-09,1974.6470
2019-01-10,1925.8750
2019-01-11,2036.6610
2019-01-12,2056.9310
2019-01-13,2048.0640
2019-01-14,1950.3720
2019-01-15,2027.5370
2019-01-16,2089.1440
2019-01-17,2018.4900
2019-01-18,2033.0090
2019-01-19,1943.6810
2019-01-20,1864.3340
2019-01-21,1943.5330
2019-01-22,1984.6080
2019-01-23,2068.4700
2019-01-24,2061.0270
2019-01-25,2094.3980
2019-01-26,2151.0650
2019-01-27,2077.0330
2019-01-28,2057.4700
2019-01-29,1968.7910
2019-01-30,2013.0030
2019-01-31,2027.3160
2019-02-01,2149.1360
2019-02-02,2041.7130
2019-02-03,1896.1270
2019-02-04,1915.1310
2019-02-05,1946.7630
2019-02-06,2036.2440
2019-02-07,2095.2240
2019-02-08,2193.4150
2019-02-09,2057.2540
